country_code,country_name,indicator_id,indicator_name,index_id,index_name,value,year
#country+code,#country+name,#indicator+id,#indicator+name,#index+id,#index+name,#indicator+value+num,#date+year
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.755,1990
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.76,1991
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.795,1992
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.805,1993
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.762,1994
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.794,1995
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.809,1996
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.813,1997
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.846,1998
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.811,1999
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.816,2000
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.823,2001
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.836,2002
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.841,2003
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.852,2004
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.862,2005
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.85,2006
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.846,2007
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.847,2008
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.816,2009
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.832,2010
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.846,2011
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.849,2012
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.86,2013
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.864,2014
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.868,2015
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.869,2016
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.867,2017
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.866,2018
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.866,2019
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.868,2020
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.869,2021
SDN,Sudan,gdi,Gender Development Index (value),GDI,Gender Development Index,0.868,2022
SDN,Sudan,gii,Gender Inequality Index (value),GII,Gender Inequality Index,0.749,1990
SDN,Sudan,gii,Gender Inequality Index (value),GII,Gender Inequality Index,0.745,1991
SDN,Sudan,gii,Gender Inequality Index (value),GII,Gender Inequality Index,0.743,1992
SDN,Sudan,gii,Gender Inequality Index (value),GII,Gender Inequality Index,0.74,1993
SDN,Sudan,gii,Gender Inequality Index (value),GII,Gender Inequality Index,0.726,1994
