location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#gender+code,#age+range,#age+min,#age+max,#population,#date+start,#date+end
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,all,None,None,23888930,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,all,None,None,23593010,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,all,None,None,47481940,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,0-4,0,4,3614512,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,5-9,5,9,3158984,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,10-14,10,14,2811747,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,15-19,15,19,2589515,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,20-24,20,24,2164910,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,25-29,25,29,1802984,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,30-34,30,34,1542283,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,35-39,35,39,1335394,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,40-44,40,44,1175955,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,45-49,45,49,1014886,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,50-54,50,54,837353,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,55-59,55,59,629403,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,60-64,60,64,466025,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,65-69,65,69,312885,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,70-74,70,74,205785,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,75-79,75,79,127271,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,f,80+,80,None,99038,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,0-4,0,4,3691361,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,5-9,5,9,3194974,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,10-14,10,14,2845332,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,15-19,15,19,2495880,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,20-24,20,24,1982172,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,25-29,25,29,1953542,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,30-34,30,34,1671124,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,35-39,35,39,1218717,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,40-44,40,44,993010,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,45-49,45,49,886716,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,50-54,50,54,757795,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,55-59,55,59,615804,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,60-64,60,64,481074,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,65-69,65,69,330462,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,70-74,70,74,222166,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,75-79,75,79,141274,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,m,80+,80,None,111607,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,0-4,0,4,7305873,2024-01-01,2024-12-31
SDN,True,True,,,SDN-XXX,UNSPECIFIED,SDN-XXX-XXX,UNSPECIFIED,all,5-9,5,9,6353958,2024-01-01,2024-12-31
