location_code,has_hrp,in_gho,provider_admin1_name,admin1_code,admin1_name,mpi,headcount_ratio,intensity_of_deprivation,vulnerable_to_poverty,in_severe_poverty,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm1+code,#adm1+name,#indicator+mpi,#indicator+headcount_ratio,#indicator+intensity_of_deprivation,#indicator+vulnerable_to_poverty,#indicator+in_severe_poverty,#date+start,#date+end
SDN,True,True,,SDN-XXX,UNSPECIFIED,0.3166,57.0012,55.5476,16.2972,35.9205,2010-01-01,2010-12-31
SDN,True,True,,SDN-XXX,UNSPECIFIED,0.2794,52.328,53.4015,17.6605,30.8783,2014-01-01,2014-12-31
SDN,True,True,Al Qadarif,SDN-XXX,UNSPECIFIED,0.3875,70.1923,55.209,16.5025,47.7124,2014-01-01,2014-12-31
SDN,True,True,Khartoum,SD01,Khartoum,0.0711,16.229,43.7966,16.4974,5.291,2014-01-01,2014-12-31
SDN,True,True,North Darfur,SD02,North Darfur,0.4437,83.7289,52.9882,10.8045,51.2219,2014-01-01,2014-12-31
SDN,True,True,South Darfur,SD03,South Darfur,0.3991,72.151,55.3197,17.9735,44.5383,2014-01-01,2014-12-31
SDN,True,True,West Darfur,SD04,West Darfur,0.4523,78.3468,57.7295,12.1213,54.3088,2014-01-01,2014-12-31
SDN,True,True,East Darfur,SD05,East Darfur,0.4501,76.5857,58.7704,16.9802,54.0586,2014-01-01,2014-12-31
SDN,True,True,Central Darfur,SD06,Central Darfur,0.4917,83.819,58.6648,11.5181,62.8671,2014-01-01,2014-12-31
SDN,True,True,South Kurdufan,SD07,South Kordofan,0.4069,70.1564,57.9981,20.7951,46.0866,2014-01-01,2014-12-31
SDN,True,True,Blue Nile,SD08,Blue Nile,0.3712,70.615,52.5627,15.5508,40.945,2014-01-01,2014-12-31
SDN,True,True,White Nile,SD09,White Nile,0.2569,51.5504,49.8284,23.1703,25.1578,2014-01-01,2014-12-31
SDN,True,True,Red Sea,SD10,Red Sea,0.2274,44.3485,51.2821,21.7865,25.9599,2014-01-01,2014-12-31
SDN,True,True,Kassala,SD11,Kassala,0.3606,65.4913,55.0657,13.6131,42.346,2014-01-01,2014-12-31
SDN,True,True,North Kurdufan,SD13,North Kordofan,0.3341,63.0945,52.9598,19.849,37.183,2014-01-01,2014-12-31
SDN,True,True,Sinnar,SD14,Sennar,0.2708,51.295,52.7958,17.1371,29.5549,2014-01-01,2014-12-31
SDN,True,True,Al Jazirah,SD15,Aj Jazirah,0.1671,34.7602,48.0697,21.9695,15.4247,2014-01-01,2014-12-31
SDN,True,True,River Nile,SD16,River Nile,0.0863,18.3503,47.0476,20.1134,6.9112,2014-01-01,2014-12-31
SDN,True,True,Northern,SD17,Northern,0.0338,8.104,41.683,20.3793,2.1372,2014-01-01,2014-12-31
SDN,True,True,West Kurdufan,SD18,West Kordofan,0.4684,81.4115,57.5385,12.8772,55.4175,2014-01-01,2014-12-31
