Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
SDN,2008-01-01,2008-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2008,2008,SLC,27.9838273473,E
SDN,2009-01-01,2009-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2009,2009,SLC,28.0944214190,E
SDN,2010-01-01,2010-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2010,2010,SLC,29.0444543345,E
SDN,2011-01-01,2011-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2011,2011,SLC,43.1189832993,E
SDN,2012-01-01,2012-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2012,2012,SLC,52.3201626576,E
SDN,2013-01-01,2013-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2013,2013,SLC,66.9464185873,E
SDN,2014-01-01,2014-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2014,2014,SLC,92.1307584851,E
SDN,2015-01-01,2015-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2015,2015,SLC,100.0000000000,E
SDN,2016-01-01,2016-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2016,2016,SLC,115.5709505922,E
SDN,2017-01-01,2017-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2017,2017,SLC,148.7901196712,E
SDN,2018-01-01,2018-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2018,2018,SLC,208.7054051222,E
SDN,2019-01-01,2019-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2019,2019,SLC,281.5097115393,E
SDN,2020-01-01,2020-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2020,2020,SLC,470.2378523465,E
SDN,2021-01-01,2021-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2021,2021,SLC,1369.1105919979,E
SDN,2022-01-01,2022-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2022,2022,SLC,2644.2485996104,E
SDN,2023-01-01,2023-12-31,276,'729,Sudan,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2023,2023,SLC,3562.7482557739,E
SDN,2008-01-01,2008-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2008,2008,USD,80.6746050308,E
SDN,2009-01-01,2009-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2009,2009,USD,73.5550810898,E
SDN,2010-01-01,2010-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2010,2010,USD,75.8950760780,E
SDN,2011-01-01,2011-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2011,2011,USD,97.4355176621,E
SDN,2012-01-01,2012-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2012,2012,USD,88.2370518327,E
SDN,2013-01-01,2013-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2013,2013,USD,84.8058700458,E
SDN,2014-01-01,2014-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2014,2014,USD,96.7697781614,E
SDN,2015-01-01,2015-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2015,2015,USD,100.0000000000,E
SDN,2016-01-01,2016-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2016,2016,USD,103.1486691961,E
SDN,2017-01-01,2017-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2017,2017,USD,134.1495107776,E
SDN,2018-01-01,2018-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2018,2018,USD,51.6917081937,E
SDN,2019-01-01,2019-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2019,2019,USD,37.0638355307,E
SDN,2020-01-01,2020-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2020,2020,USD,37.5533620320,E
SDN,2021-01-01,2021-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2021,2021,USD,39.2749801418,E
SDN,2022-01-01,2022-12-31,276,'729,Sudan,22024,GDP Deflator,6179,"Value US$, 2015 prices",2022,2022,USD,42.0404708519,E
SDN,2008-01-01,2008-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2008,2008,SLC,42.8031241927,E
SDN,2009-01-01,2009-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2009,2009,SLC,42.7325959610,E
SDN,2010-01-01,2010-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2010,2010,SLC,48.8402892171,E
SDN,2011-01-01,2011-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2011,2011,SLC,72.4845251530,E
SDN,2012-01-01,2012-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2012,2012,SLC,64.4990906424,E
SDN,2013-01-01,2013-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2013,2013,SLC,78.9998924618,E
SDN,2014-01-01,2014-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2014,2014,SLC,99.8659282542,E
SDN,2015-01-01,2015-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2015,2015,SLC,100.0000000000,E
SDN,2016-01-01,2016-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2016,2016,SLC,89.2275481169,E
SDN,2017-01-01,2017-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2017,2017,SLC,180.9365015752,E
SDN,2018-01-01,2018-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2018,2018,SLC,387.1676945526,E
SDN,2019-01-01,2019-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2019,2019,SLC,412.0207341246,E
SDN,2020-01-01,2020-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2020,2020,SLC,728.0312910981,E
SDN,2021-01-01,2021-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2021,2021,SLC,2077.9030727380,E
SDN,2022-01-01,2022-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2022,2022,SLC,2817.7164297055,E
SDN,2023-01-01,2023-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2023,2023,SLC,2977.8915667465,E
SDN,2008-01-01,2008-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",2008,2008,USD,123.3971713546,E
SDN,2009-01-01,2009-12-31,276,'729,Sudan,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",2009,2009,USD,111.8798466858,E
