GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
itnwm,Pregnant women sleeping under insecticide-treated nets (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),,No data,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,40.53232,40.5 [33.3-47.9],33.28391,47.92956
sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,Decile 1 (poorest),,No data,,
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_TOTAL,Total,37.7,37.7 [21.2-51.8],21.2,51.8
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,Decile 1 (poorest),,No data,,
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,,,,31.0,31 [16-51],16.0,51.0
TB_conf_mdr_tx_pct,Confirmed cases of MDR-TB started treatment for MDR-TB (%),,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,,,,47.0,47,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1987,1987,1987,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
cci2030,Composite coverage index (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201406,khartoum,68.44878,68.4,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,Primary,83.75301,83.8 [80.9-86.2],80.90364,86.24949
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,3.18343,3.18 [0.82-6.24],0.82179,6.24239
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_MILD,Mild,21.6,21.6 [13.2-28.3],13.2,28.3
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1975,1975,1975,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,0.09,0.09,,
R_imp_duty_estimate,Most sold brand of cigarettes - taxes as a % of price - import duties,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,0,,
NCD_HYP_DIAGNOSIS_C,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",,1999,1999,1999,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,19.2,19.2 [11.9-28.0],11.9,28.0
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,Decile 10 (richest),,No data,,
fpsmowho,Demand for family planning satisfied - use of modern methods (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,26.47753,26.5 [22.4-31.0],22.37206,31.03518
NUT_CF_EFF,Egg and/or Flesh Food Consumption 6-23 months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP40,Wealth - Top 40%,50.3,50.3 [45.5-55.1],45.5,55.1
NUT_BF_EBF,Exclusive breastfeeding under six months,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,None,37.6,37.6 [33.6-41.8],33.6,41.8
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,Other alcoholic beverages,1.64,1.64,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1981,1981,1981,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201416,south darfur,,No data,,
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,Decile 6,,No data,,
E6_compliance,Compliance of ban on advertising at point of sale,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,5.0,5,,
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,,No data,,
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,16.84248,16.84 [11.89-22.87],11.89225,22.86549
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
WHS4_106,Care-seeking for children with symptoms of acute respiratory infection (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,48.3,48.3,,
cci2030,Composite coverage index (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,None,37.00501,37.0,,
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,125.76,125.76,,
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201010,blue nile,,No data,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1963,1963,1963,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.0,0.00,,
NCD_CCS_radio,General availability of radiotherapy in the public sector,,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
NUT_BF_EVBF,Ever breastfed,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,Primary,98.9,98.9 [98.2-99.4],98.2,99.4
vbcg,BCG immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201008,white nile,79.55896,79.6 [70.0-86.7],69.95099,86.67983
vdpt,DTP3 immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),84.60207,84.6 [79.8-88.4],79.84654,88.3985
NCD_HYP_TREATMENT_C,"Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, crude",,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,14.4,14.4 [8.7-21.7],8.7,21.7
TB_notif_num,Number of people notified with new episode of TB in a given year,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_ALL,All,19831.0,19 831,,
csection,Births by caesarean section (in the two or three years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201402,river nile,18.80143,18.8 [13.7-25.2],13.7145,25.22361
sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201418,east darfur,,No data,,
SA_0000001438,"Age-standardized death rates, breast cancer, per 100,000",,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,,,,13.71,13.71,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,Decile 7,58.76954,58.8 [50.9-66.2],50.88947,66.22439
PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,,,,93.0,93,,
vfull,Full immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),67.24632,67.2 [61.0-72.9],61.01329,72.92506
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%), age-standardized",,2005,2005,2005,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,12.75238,12.8 [12.3 - 12.8],12.33124,12.84701
TB_tot_newrel,Tuberculosis - new and relapse cases,,1991,1991,1991,EMR,Eastern Mediterranean,SDN,Sudan,,,,16423.0,16423,,
Camp_media_monitor,Process evaluation was employed to assess implementation of the campaign,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
