Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
SDN,2000-01-01,2002-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,104,E,
SDN,2001-01-01,2003-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,105,E,
SDN,2002-01-01,2004-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,106,E,
SDN,2003-01-01,2005-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,106,E,
SDN,2004-01-01,2006-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,106,E,
SDN,2005-01-01,2007-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,108,E,
SDN,2006-01-01,2008-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,109,E,
SDN,2007-01-01,2009-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,111,E,
SDN,2008-01-01,2010-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,112,E,
SDN,2009-01-01,2011-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,114,E,
SDN,2010-01-01,2012-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,116,E,
SDN,2011-01-01,2013-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,119,E,
SDN,2012-01-01,2014-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,119,E,
SDN,2013-01-01,2015-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,120,E,
SDN,2014-01-01,2016-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,120,E,
SDN,2015-01-01,2017-12-31,276,'729,Sudan,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,118,E,
